,Node,Topic,Size,Msg Received,Msg Late,Msg Too Late,Msg Lost,Mean,Std,Min,Max,Freq,Throughput,Pub/Sub Type,Architecture,RMW,Test Duration,CPU Stress,IPC
115,object_tracker,out_detection_2d,2928,600,0,0,0,337,181,144,2738,10,28.5944,Subscription,simple,cyclone,60,medium,0
116,ai_detector,camera_info,376,1500,0,0,0,231,157,40,2962,25,9.17969,Subscription,simple,cyclone,60,medium,0
117,ai_detector,rgb_image,921600,1500,0,0,0,745,383,203,3838,25,22501.0,Subscription,simple,cyclone,60,medium,0
118,base_controller,cmd_vel,48,600,0,0,0,265,130,82,1089,10,0.468754,Subscription,simple,cyclone,60,medium,0
119,follower,cmd_vel,48,0,0,0,0,52,26,17,181,10,0.468752,Publisher,simple,cyclone,60,medium,0
120,obstacle_detector,repulsive_vector,24,0,0,0,0,48,34,17,351,10,0.234375,Publisher,simple,cyclone,60,medium,0
121,object_tracker,attractive_vector,24,0,0,0,0,42,29,8,196,10,0.234376,Publisher,simple,cyclone,60,medium,0
122,ai_detector,out_detection_2d,2928,0,0,0,0,115,55,47,602,10,28.5941,Publisher,simple,cyclone,60,medium,0
123,camera,camera_info,376,0,0,0,0,70,43,11,402,25,9.17966,Publisher,simple,cyclone,60,medium,0
124,camera,rgb_image,921600,0,0,0,0,217,110,67,1438,25,22500.1,Publisher,simple,cyclone,60,medium,0
125,laser,scan,8728,0,0,0,0,74,43,23,375,10,85.2345,Publisher,simple,cyclone,60,medium,0
126,follower,attractive_vector,24,600,0,0,0,274,224,64,1542,10,0.234375,Subscription,simple,cyclone,60,medium,1
127,follower,repulsive_vector,24,600,0,0,0,313,208,92,1511,10,0.234377,Subscription,simple,cyclone,60,medium,1
128,obstacle_detector,scan,8728,600,0,0,0,334,221,87,1917,10,85.2347,Subscription,simple,cyclone,60,medium,1
129,object_tracker,out_detection_2d,2928,600,0,0,0,303,194,73,1116,10,28.5936,Subscription,simple,cyclone,60,medium,1
130,ai_detector,camera_info,376,1500,0,0,0,284,244,59,2471,25,9.17971,Subscription,simple,cyclone,60,medium,1
131,ai_detector,rgb_image,921600,1500,0,0,0,241,192,56,1553,25,22500.2,Subscription,simple,cyclone,60,medium,1
132,base_controller,cmd_vel,48,600,0,0,0,353,208,109,1770,10,0.468758,Subscription,simple,cyclone,60,medium,1
133,follower,cmd_vel,48,0,0,0,0,118,81,35,870,10,0.468752,Publisher,simple,cyclone,60,medium,1
134,obstacle_detector,repulsive_vector,24,0,0,0,0,108,89,28,956,10,0.234375,Publisher,simple,cyclone,60,medium,1
135,object_tracker,attractive_vector,24,0,0,0,0,88,80,14,752,10,0.234375,Publisher,simple,cyclone,60,medium,1
136,ai_detector,out_detection_2d,2928,0,0,0,0,98,70,23,478,10,28.5936,Publisher,simple,cyclone,60,medium,1
137,camera,camera_info,376,0,0,0,0,89,75,18,696,25,9.17968,Publisher,simple,cyclone,60,medium,1
138,camera,rgb_image,921600,0,0,0,0,73,60,16,500,25,22500.1,Publisher,simple,cyclone,60,medium,1
139,laser,scan,8728,0,0,0,0,111,83,26,873,10,85.2343,Publisher,simple,cyclone,60,medium,1
140,follower,attractive_vector,24,600,0,0,0,229,515,54,4339,10,0.234399,Subscription,simple,cyclone,60,high,0
141,follower,repulsive_vector,24,600,0,0,0,303,513,94,4189,10,0.234398,Subscription,simple,cyclone,60,high,0
142,obstacle_detector,scan,8728,600,1,0,0,331,556,102,6380,10,85.2354,Subscription,simple,cyclone,60,high,0
143,object_tracker,out_detection_2d,2928,600,4,0,0,520,913,148,9299,10,28.5943,Subscription,simple,cyclone,60,high,0
144,ai_detector,camera_info,376,1500,5,0,0,320,664,67,8212,25,9.18337,Subscription,simple,cyclone,60,high,0
145,ai_detector,rgb_image,921600,1500,8,0,0,982,924,341,10458,25,22506.5,Subscription,simple,cyclone,60,high,0
146,base_controller,cmd_vel,48,601,1,0,0,309,609,97,6517,10,0.46892,Subscription,simple,cyclone,60,high,0
147,follower,cmd_vel,48,0,0,0,0,128,564,13,6309,10,0.468915,Publisher,simple,cyclone,60,high,0
148,obstacle_detector,repulsive_vector,24,0,0,0,0,122,449,13,4033,10,0.234395,Publisher,simple,cyclone,60,high,0
149,object_tracker,attractive_vector,24,0,0,0,0,89,421,10,3994,10,0.234399,Publisher,simple,cyclone,60,high,0
150,ai_detector,out_detection_2d,2928,0,0,0,0,263,686,52,8654,10,28.5939,Publisher,simple,cyclone,60,high,0
151,camera,camera_info,376,0,0,0,0,140,521,17,8019,25,9.18334,Publisher,simple,cyclone,60,high,0
152,camera,rgb_image,921600,0,0,0,0,401,729,98,9121,25,22505.7,Publisher,simple,cyclone,60,high,0
153,laser,scan,8728,0,0,0,0,123,385,19,3324,10,85.2347,Publisher,simple,cyclone,60,high,0
154,follower,attractive_vector,24,600,2,0,0,126,438,34,8170,10,0.234391,Subscription,simple,cyclone,60,high,1
155,follower,repulsive_vector,24,600,0,0,0,128,176,72,3387,10,0.234387,Subscription,simple,cyclone,60,high,1
156,obstacle_detector,scan,8728,600,0,0,0,141,69,77,514,10,85.2341,Subscription,simple,cyclone,60,high,1
157,object_tracker,out_detection_2d,2928,600,0,0,0,128,63,77,925,10,28.6001,Subscription,simple,cyclone,60,high,1
158,ai_detector,camera_info,376,1500,1,0,0,133,468,39,17963,25,9.18301,Subscription,simple,cyclone,60,high,1
159,ai_detector,rgb_image,921600,1500,1,0,0,127,623,35,24130,25,22511.5,Subscription,simple,cyclone,60,high,1
160,base_controller,cmd_vel,48,600,1,0,0,202,1421,80,34910,10,0.469035,Subscription,simple,cyclone,60,high,1
161,follower,cmd_vel,48,0,0,0,0,38,37,16,719,10,0.468766,Publisher,simple,cyclone,60,high,1
162,obstacle_detector,repulsive_vector,24,0,0,0,0,35,92,15,2222,10,0.234375,Publisher,simple,cyclone,60,high,1
163,object_tracker,attractive_vector,24,0,0,0,0,48,423,7,8072,10,0.234384,Publisher,simple,cyclone,60,high,1
164,ai_detector,out_detection_2d,2928,0,0,0,0,34,23,17,402,10,28.5998,Publisher,simple,cyclone,60,high,1
165,camera,camera_info,376,0,0,0,0,28,38,8,1210,25,9.18033,Publisher,simple,cyclone,60,high,1
166,camera,rgb_image,921600,0,0,0,0,23,19,7,533,25,22502.5,Publisher,simple,cyclone,60,high,1
167,laser,scan,8728,0,0,0,0,40,28,16,247,10,85.2341,Publisher,simple,cyclone,60,high,1
168,follower,attractive_vector,24,600,0,0,0,169,80,45,423,10,0.234375,Subscription,simple,zenoh,60,low,0
169,follower,repulsive_vector,24,600,0,0,0,195,65,97,393,10,0.234376,Subscription,simple,zenoh,60,low,0
170,obstacle_detector,scan,8728,600,0,0,0,159,53,101,402,10,85.2336,Subscription,simple,zenoh,60,low,0
171,object_tracker,out_detection_2d,2928,600,0,0,0,213,67,86,553,10,28.5941,Subscription,simple,zenoh,60,low,0
172,ai_detector,camera_info,376,1500,0,0,0,236,82,77,587,25,9.17975,Subscription,simple,zenoh,60,low,0
173,ai_detector,rgb_image,921600,1500,0,0,0,2043,251,1179,2932,25,22500.1,Subscription,simple,zenoh,60,low,0
174,base_controller,cmd_vel,48,600,0,0,0,220,98,118,2117,10,0.468752,Subscription,simple,zenoh,60,low,0
175,follower,cmd_vel,48,0,0,0,0,78,61,33,1436,10,0.46875,Publisher,simple,zenoh,60,low,0
176,obstacle_detector,repulsive_vector,24,0,0,0,0,65,28,22,145,10,0.234375,Publisher,simple,zenoh,60,low,0
177,object_tracker,attractive_vector,24,0,0,0,0,59,31,13,157,10,0.234375,Publisher,simple,zenoh,60,low,0
178,ai_detector,out_detection_2d,2928,0,0,0,0,76,30,25,184,10,28.5939,Publisher,simple,zenoh,60,low,0
179,camera,camera_info,376,0,0,0,0,89,34,20,167,25,9.1797,Publisher,simple,zenoh,60,low,0
180,camera,rgb_image,921600,0,0,0,0,1397,196,844,2108,25,22500.2,Publisher,simple,zenoh,60,low,0
181,laser,scan,8728,0,0,0,0,52,24,22,176,10,85.2333,Publisher,simple,zenoh,60,low,0
182,follower,attractive_vector,24,600,0,0,0,138,88,51,382,10,0.234373,Subscription,simple,zenoh,60,low,1
183,follower,repulsive_vector,24,600,0,0,0,191,81,94,487,10,0.234375,Subscription,simple,zenoh,60,low,1
184,obstacle_detector,scan,8728,600,0,0,0,183,73,74,605,10,85.2351,Subscription,simple,zenoh,60,low,1
185,object_tracker,out_detection_2d,2928,600,0,0,0,178,76,97,500,10,28.5937,Subscription,simple,zenoh,60,low,1
186,ai_detector,camera_info,376,1500,0,0,0,311,145,76,1097,25,9.17981,Subscription,simple,zenoh,60,low,1
187,ai_detector,rgb_image,921600,1500,0,0,0,181,75,66,776,25,22500.4,Subscription,simple,zenoh,60,low,1
188,base_controller,cmd_vel,48,600,0,0,0,250,86,112,727,10,0.468749,Subscription,simple,zenoh,60,low,1
189,follower,cmd_vel,48,0,0,0,0,98,39,36,234,10,0.468749,Publisher,simple,zenoh,60,low,1
190,obstacle_detector,repulsive_vector,24,0,0,0,0,74,41,31,228,10,0.234375,Publisher,simple,zenoh,60,low,1
191,object_tracker,attractive_vector,24,0,0,0,0,51,40,12,166,10,0.234374,Publisher,simple,zenoh,60,low,1
192,ai_detector,out_detection_2d,2928,0,0,0,0,66,34,31,205,10,28.5937,Publisher,simple,zenoh,60,low,1
193,camera,camera_info,376,0,0,0,0,100,46,22,428,25,9.17971,Publisher,simple,zenoh,60,low,1
194,camera,rgb_image,921600,0,0,0,0,41,12,22,220,25,22500.2,Publisher,simple,zenoh,60,low,1
195,laser,scan,8728,0,0,0,0,67,31,30,251,10,85.2345,Publisher,simple,zenoh,60,low,1
196,follower,attractive_vector,24,600,0,0,0,237,134,47,1501,10,0.234373,Subscription,simple,zenoh,60,medium,0
197,follower,repulsive_vector,24,600,0,0,0,255,123,87,1228,10,0.234374,Subscription,simple,zenoh,60,medium,0
198,obstacle_detector,scan,8728,600,0,0,0,276,114,96,843,10,85.2348,Subscription,simple,zenoh,60,medium,0
199,object_tracker,out_detection_2d,2928,600,0,0,0,308,139,105,1608,10,28.5938,Subscription,simple,zenoh,60,medium,0
200,ai_detector,camera_info,376,1500,0,0,0,297,122,77,1041,25,9.17976,Subscription,simple,zenoh,60,medium,0
201,ai_detector,rgb_image,921600,1500,172,0,0,3783,1317,1117,23158,25,22500.0,Subscription,simple,zenoh,60,medium,0
202,base_controller,cmd_vel,48,600,0,0,0,270,130,87,1255,10,0.468748,Subscription,simple,zenoh,60,medium,0
203,follower,cmd_vel,48,0,0,0,0,80,49,20,475,10,0.468749,Publisher,simple,zenoh,60,medium,0
204,obstacle_detector,repulsive_vector,24,0,0,0,0,77,41,23,351,10,0.234374,Publisher,simple,zenoh,60,medium,0
205,object_tracker,attractive_vector,24,0,0,0,0,75,57,12,796,10,0.234374,Publisher,simple,zenoh,60,medium,0
206,ai_detector,out_detection_2d,2928,0,0,0,0,98,49,31,577,10,28.5937,Publisher,simple,zenoh,60,medium,0
207,camera,camera_info,376,0,0,0,0,103,49,24,497,25,9.1797,Publisher,simple,zenoh,60,medium,0
208,camera,rgb_image,921600,0,0,0,0,2517,953,739,21930,25,22500.2,Publisher,simple,zenoh,60,medium,0
209,laser,scan,8728,0,0,0,0,88,50,25,480,10,85.2344,Publisher,simple,zenoh,60,medium,0
210,follower,attractive_vector,24,600,0,0,0,263,171,41,1548,10,0.234373,Subscription,simple,zenoh,60,medium,1
211,follower,repulsive_vector,24,600,0,0,0,317,151,92,1367,10,0.234376,Subscription,simple,zenoh,60,medium,1
212,obstacle_detector,scan,8728,600,0,0,0,312,174,99,2480,10,85.2343,Subscription,simple,zenoh,60,medium,1
213,object_tracker,out_detection_2d,2928,600,0,0,0,307,152,98,1166,10,28.5939,Subscription,simple,zenoh,60,medium,1
214,ai_detector,camera_info,376,1500,0,0,0,577,417,87,3813,25,9.17986,Subscription,simple,zenoh,60,medium,1
215,ai_detector,rgb_image,921600,1500,0,0,0,255,157,74,1744,25,22500.3,Subscription,simple,zenoh,60,medium,1
216,base_controller,cmd_vel,48,600,0,0,0,364,173,113,1322,10,0.468753,Subscription,simple,zenoh,60,medium,1
217,follower,cmd_vel,48,0,0,0,0,123,64,38,759,10,0.46875,Publisher,simple,zenoh,60,medium,1
218,obstacle_detector,repulsive_vector,24,0,0,0,0,111,64,35,657,10,0.234375,Publisher,simple,zenoh,60,medium,1
219,object_tracker,attractive_vector,24,0,0,0,0,85,66,11,709,10,0.234374,Publisher,simple,zenoh,60,medium,1
220,ai_detector,out_detection_2d,2928,0,0,0,0,103,62,33,558,10,28.5938,Publisher,simple,zenoh,60,medium,1
221,camera,camera_info,376,0,0,0,0,122,69,27,702,25,9.17971,Publisher,simple,zenoh,60,medium,1
